vin;iin;d1;d2;vout;iout;pin;pout;losses
159.132;3.27;0.6416;0;100.938;5.004;520.36164;505.093752;15.267888
153.96;3.36;0.6595;0;100.37;5.004;517.3056;502.25148;15.05412
143.835;3.628;0.7133;0;101.374;5.004;521.83338;507.275496;14.557884
139.051;3.717;0.7312;0;100.48;5.004;516.852567;502.80192;14.050647
133.903;3.806;0.7491;0;99.115;5.004;509.634818;495.97146;13.663358
129.027;3.985;0.785;0;100.081;5.004;514.172595;500.805324;13.367271
123.892;4.164;0.8208;0;100.459;5.004;515.886288;502.696836;13.189452
119.001;4.343;0.8566;0;100.69;5.004;516.821343;503.85276;12.968583
113.879;4.522;0.8925;0;100.366;5.004;514.960838;502.231464;12.729374
108.955;4.701;0.9283;0;99.84;5.004;512.197455;499.59936;12.598095
79.125;6.599;1;0.233;100.875;5.002;522.145875;504.57675;17.569125
75.767;6.757;1;0.2509;98.774;5.002;511.957619;494.067548;17.890071
73.837;6.922;1;0.2867;98.503;5.002;511.099714;492.712006;18.387708
73.808;7.096;1;0.2867;100.866;5.002;523.741568;504.531732;19.209836
71.819;7.28;1;0.3047;100.588;5.002;522.84232;503.141176;19.701144
68.872;7.679;1;0.3405;101.46;5.002;528.868088;507.50292;21.365168
78.997;6.598;1;0.233;100.785;5.002;521.222206;504.12657;17.095636
81.942;6.303;1;0.1971;100.018;5.002;516.480426;500.290036;16.19039
83.883;6.164;1;0.1792;100.245;5.002;517.054812;501.42549;15.629322
86.043;6.032;1;0.1613;100.697;5.002;519.011376;503.686394;15.324982
88.99;5.784;1;0.1255;100.007;5.002;514.71816;500.235014;14.483146
89.034;5.895;0.8063;0.3047;99.834;5.002;524.85543;499.369668;25.485762
91.939;5.748;0.8063;0.2867;100.699;5.002;528.465372;503.696398;24.768974
93.832;5.608;0.8063;0.2688;100.384;5.002;526.209856;502.120768;24.089088
96.074;5.474;0.8063;0.2507;100.455;5.002;525.909076;502.47591;23.433166
99.067;5.347;0.8063;0.233;101.332;5.002;529.711249;506.862664;22.848585
101.981;5.11;0.8063;0.1971;99.822;5.002;521.12291;499.309644;21.813266
103.941;4.999;0.8063;0.179;99.624;5.004;519.601059;498.518496;21.082563
106.152;4.892;0.8063;0.1611;99.678;5.003;519.295584;498.689034;20.60655
109.075;4.791;0.8063;0.1432;100.4;5.003;522.578325;502.3012;20.277125
