vin;iin;d1;d2;vout;iout
159.132;3.27;0.6091;0;100.938;5.004
159.342;3.296;0.6091;0.0538;101.296;5.003
149.258;3.491;0.6091;0.1075;100.433;5.002
139.2;3.71;0.6091;0.1613;99.417;5.002
131.963;3.962;0.6091;0.2151;100.457;5.003
126.06;4.149;0.6091;0.2509;100.376;5.003
116.991;4.467;0.6091;0.3047;100.019;5.002
108.899;4.84;0.6091;0.3584;100.519;5.002
99.784;5.289;0.6091;0.4122;100;5.001
91.645;5.841;0.6091;0.465;100.446;5.001
83.488;6.531;0.6091;0.5197;100.911;5.001
78.483;7.091;0.6091;0.5375;101.632;5.001
153.96;3.36;0.6453;0;100.37;5.004
149.44;3.486;0.6453;0.0538;100.556;5.002
140.368;3.692;0.6453;0.1075;99.945;5.002
132.284;3.925;0.6453;0.1613;100.009;5.002
124.175;4.191;0.6453;0.2151;100.075;5.002
119.255;4.389;0.6453;0.2509;100.525;5.002
111.111;4.726;0.6453;0.3047;100.527;5.002
102.838;5.12;0.6453;0.3584;100.448;5.003
94.582;5.592;0.6453;0.4122;100.312;5.001
86.73;6.169;0.6453;0.465;100.543;5.001
78.56;6.889;0.6453;0.5197;100.455;4.999
75.314;7.169;0.6453;0.5375;99.507;5.001
143.835;3.628;0.7167;0;101.374;5.004
134.495;3.865;0.7167;0.0538;100.221;5.003
127.214;4.095;0.7167;0.1075;100.594;5.003
119.001;4.353;0.7167;0.1613;99.876;5.002
111.843;4.649;0.7167;0.2151;100.057;5.003
106.898;4.87;0.7167;0.2509;100.04;5.003
99.79;5.244;0.7167;0.3047;100.249;5.002
92.612;5.681;0.7167;0.3584;100.394;5.002
84.952;6.203;0.7167;0.4122;99.982;5.002
78.016;6.836;0.7167;0.465;100.401;5.002
70.795;7.621;0.7167;0.5197;100.428;5.001
68.285;7.926;0.7167;0.5375;100.259;5.001
133.903;3.806;0.7525;0;99.115;5.004
127.973;4.056;0.7525;0.0538;100.265;5.005
120.699;4.298;0.7525;0.1075;100.151;5.004
113.615;4.57;0.7525;0.1613;100.1;5.005
106.744;4.881;0.7525;0.2151;100.277;5.005
102.063;5.113;0.7525;0.2509;100.244;5.005
94.995;5.506;0.7525;0.3047;100.165;5.004
88.102;5.965;0.7525;0.3584;100.283;5.004
80.987;6.512;0.7525;0.4122;100.106;5.003
74.053;7.174;0.7525;0.465;100.061;5.003
67.374;7.993;0.7525;0.5197;100.277;5.003
65.26;8.31;0.7525;0.5375;100.46;5.003
123.892;4.164;0.8063;0;100.459;5.004
119.469;4.341;0.8063;0.0538;100.306;5.003
112.77;4.599;0.8063;0.1075;100.229;5.003
106.389;4.891;0.8063;0.1613;100.492;5.003
99.831;5.224;0.8063;0.2151;100.402;5.003
95.071;5.472;0.8063;0.2509;99.963;5.002
88.625;5.893;0.8063;0.3047;100.047;5.002
82.415;6.385;0.8063;0.3584;100.417;5.002
76.099;6.971;0.8063;0.4122;100.652;5.002
69.406;7.679;0.8063;0.465;100.338;5.001
63.149;8.55;0.8063;0.5197;100.521;5.001
61.112;8.887;0.8063;0.5375;100.564;5.001
119.001;4.343;0.86;0;100.69;5.004
118.968;4.629;0.86;0.0538;106.569;5.005
106.115;4.904;0.86;0.1075;100.571;5.005
99.935;5.216;0.86;0.1613;100.548;5.004
93.299;5.572;0.86;0.2151;100.037;5.005
89.421;5.837;0.86;0.2509;100.266;5.004
83.194;6.286;0.86;0.3047;100.124;5.004
77.127;6.811;0.86;0.3584;100.096;5.004
71.196;7.437;0.86;0.4122;100.317;5.003
65.501;8.192;0.86;0.465;100.798;5.004
59.523;9.118;0.86;0.5197;100.547;5.003
58.015;9.473;0.86;0.5375;100.209;5.002
108.955;4.701;0.9138;0;99.84;5.004
105.179;4.914;0.9138;0.0538;99.996;5.004
99.506;5.208;0.9138;0.1075;100.122;5.004
93.754;5.539;0.9138;0.1613;100.213;5.003
88.01;5.916;0.9138;0.2151;100.192;5.004
84.316;6.198;0.9138;0.2509;100.379;5.003
78.39;6.675;0.9138;0.3047;100.147;5.003
72.728;7.233;0.9138;0.3584;100.235;5.003
67.21;7.898;0.9138;0.4122;100.414;5.003
61.496;8.7;0.9138;0.465;100.226;5.003
57.45;9.683;0.9138;0.5197;100.404;5.003
56.147;10.057;0.9138;0.5375;100.414;5
101.824;5.033;1;0;100.292;5.004
96.09;5.345;1;0.0538;99.959;5.002
91.008;5.669;1;0.1075;100.236;5.003
85.589;6.031;1;0.1613;100.066;5.002
80.45;6.446;1;0.2151;100.261;5.002
76.995;6.754;1;0.2509;100.335;5.001
71.814;7.279;1;0.3047;100.473;5.002
66.388;7.897;1;0.3584;100.193;5.001
61.171;8.632;1;0.4122;100;5.001
57.662;9.52;1;0.465;100.753;5.001
55;10;1;0.5197;100;5
50;11;1;0.5375;100;5
